ID,Comment,Color,Weight,Nest_found_day,stable_group_day,max_stable_group,same_partners_from_collect,group_size,max_group_days,other,NestID,Cell_Count,Individual.choice.day..partners...3.time.seeing.together.consequetive..members.of.same.ultimate.group..,Individual.site.choice.day..3.day.of.same.consequetive.location.,Days.wasps.on.nest..final.day.any.wasp...found.day.,final.day.on.nest,final.day.any.wasp.on.nest,Stable_days_individual,nest_choice,Explore,body_contact,neutral,Log_agg,Nest_sites_sampled,Days_observed,dominance
MN30,,BBRR,0.12,4,8,1,n,alone,12,,1,4,8,8,14,17,18,9,y,2.75,128.5,4.75,1.352911513,4,15,a
MN12,,RRYY,0.14,2,15,3,n,large,29,,2,32,15,15,50,50,52,35,y,10,267.5,3.75,0.34657359,4,40,s
MN17,Hiding w/ 17-19,RRWW,0.17,2,15,3,n,large,29,,2,32,8,8,50,37,52,29,y,6.75,57.5,4.75,1.262464002,4,34,s
MN28,,GRRG,0.15,2,15,3,n,large,29,,2,32,8,8,50,52,52,44,y,2.75,319,4.75,1.97856307,5,51,d
MN32,,BRBR,0.16,2,15,3,n,large,29,,2,32,8,3,50,9,52,6,y,6,347.75,2,1.023586141,1,5,s
MN13A,,YYRR,0.13,7,9,2,y,small,45,,4,46,9,9,45,52,52,43,y,5.5,154,4,0.274653072,3,46,d
MN13B,,RYRY,0.09,7,9,2,y,small,45,,4,46,9,9,45,52,52,43,y,2.75,107.25,6,0.972955075,2,39,s
MN54,,WWGG,0.17,6,13,2,n,small,41,,8,64,13,7,46,52,52,45,y,3.25,437.5,6.25,0.173286795,4,47,d
MN71,,RYBW,0.11,6,13,2,n,small,41,,8,64,13,13,46,52,52,39,y,3,36,6,0,5,44,s
MN43,,YGYG,0.17,5,7,1,n,alone,45,,13,16,7,7,45,52,52,45,y,3.5,34.5,4.25,0.173286795,4,48,a
MN58,,WGGW,0.14,26,30,1,n,alone,16,,19,10,30,30,14,40,40,10,y,7.5,163.5,6.75,0.274653072,5,22,a
MN15,,YRRY,0.13,7,11,1,n,alone,22,usurped,21,22,11,11,45,33,52,22,y,3.5,418.5,2,0.447939867,8,33,a
MN23,hiding w/ 20 -23,RRGG,0.14,7,36,1,n,alone,18,usurper,21,22,36,36,45,52,52,16,y,4.5,108.5,2.5,1.336776883,11,32,a
MN29,,RRBB,0.17,6,14,3,n,large,23,,25,33,14,14,46,52,52,38,y,7,50.75,4,1.06916653,4,42,s
MN40,,WYYW,0.15,6,14,3,n,large,23,,25,33,8,8,46,52,52,44,y,1,235.25,3.5,0.173286795,3,46,d
MN59,,GGBB,0.19,6,14,3,n,large,23,,25,33,8,7,46,32,32,25,y,4.5,354.25,7.75,0.549306144,4,31,s
MN18,Hiding w/ 17-19,WWRR,0.13,5,20,3,n,large,6,,27,12,20,20,21,24,26,4,y,4.75,201.75,5.75,1.314373843,8,14,s
MN76,,GRWY,0.16,5,20,3,n,large,6,,27,12,19,19,20,23,26,4,y,4.5,56.25,7,0,22,32,s
