,WWWW,YYWW,RRYY,BBBB,GRGR,BBWW,RYBW,GRRG,YYGG,GBBG,BBGG,WYYW,RWRW,GYGY,WWGG,BBYY,GGBB,WWBB,YRYR,BWBW,WRWR,GGGG,GBGB,YYRR,GYYG,BGBG,YGGY,BGGB,RYRY,WRRW,RBRB,RWWR,WWRR,WGWG,YYYY,RRGG,RYWG,RYYR,BBRR,BYYB,RRRR,WBBW,YRRY,GWGW,BRBR,YWWY,RRWW,BRRB,RRBB,YGYG,GRWY,WGGW
WWWW,0,0,0,0,1,0,0,0,0,1,3,0,3,0,0,1,0,0,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
YYWW,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,1,0,2,0,0,1,1,0,0,2,0
RRYY,0,2,0,1,0,0,0,37,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,24,0,0,0,0,0
BBBB,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRGR,1,0,0,0,0,1,0,0,4,0,0,0,1,0,0,1,0,0,1,3,0,0,1,1,1,0,2,0,0,0,3,0,0,1,5,3,0,3,0,1,1,0,0,3,0,0,0,0,0,0,1,0
BBWW,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RYBW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0
GRRG,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,4,0,32,0,1,0,0,0
YYGG,0,2,1,0,4,0,0,0,0,0,0,0,0,20,0,0,0,0,2,2,0,1,0,0,0,1,1,1,0,0,1,0,1,0,4,2,1,0,1,1,2,0,0,2,0,0,0,1,0,0,0,0
GBBG,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
